X_values,Y_values,participant,session,date,expName,psychopyVersion,OS,frameRate
0,-0.15987419976128472,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
1,-0.09312167697482639,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
2,0.07373894585503472,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
3,0.11069607204861111,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
4,0.06593410915798611,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
5,0.028092515733506945,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
6,-0.039093085394965275,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
7,-0.06517493353949652,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
8,-0.09263834635416666,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
9,-0.10467495388454862,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
10,-0.11510409884982639,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
11,-0.12244086371527778,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
12,-0.1262033420138889,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
13,-0.12814168294270833,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
14,-0.11914109971788195,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
15,-0.11110588921440973,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
16,-0.10218438042534722,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
17,-0.08762030707465278,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
18,-0.06697502983940973,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
19,-0.03739854600694444,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
20,-0.0019642130533854166,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
21,0.0363726806640625,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
22,0.08425760904947917,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
23,0.15241265190972222,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
24,0.16002156575520834,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
25,0.16062839084201389,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
26,0.15549021402994792,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
27,0.1416109890407986,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
28,0.12814364963107638,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
29,0.10528313530815972,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
30,0.07956502278645833,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
31,0.044414198133680555,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
32,0.024561360677083335,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
33,0.0010118950737847223,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
34,-0.012660183376736111,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
35,-0.023445095486111112,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
36,-0.03066277398003472,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
37,-0.036943359375,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
38,-0.04234327528211806,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
39,-0.04269171820746528,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
40,-0.041677280002170136,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
41,-0.03260382758246528,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
42,-0.027522922092013888,data_PARTICIPANT,,6,demo2 draft,2021.1.3,MacIntel,60.0024001
